Sheet Time (s),Sheet Frequency (Hz),Audio Frequency (Hz),Intonation Error (cents)
0.0,440.0,440.2338,0.9196705016105912
1.0,440.0,440.0857,0.3371643431404593
2.0,659.25,661.2837,5.332409872043205
3.0,659.25,661.2795,5.321414279536061
4.0,739.99,736.7621,-7.568310601073595
5.0,739.99,738.1998,-4.193313618956686
6.0,659.25,660.9955,4.5777407207146394
8.0,587.33,589.1405,5.328483324023856
9.0,587.33,588.9075,4.643659719735562
10.0,554.37,555.5867,3.795451320165436
11.0,554.37,555.2893,2.868490942062294
12.0,493.88,494.7787,3.147416734270954
13.0,493.88,492.6185,-4.427686293142302
14.0,440.0,439.049,-3.745875879457652
16.0,659.25,661.654,6.301580204269448
17.0,659.25,661.4616,5.798087639616516
18.0,587.33,587.2681,-0.18246817824162403
19.0,587.33,589.3129,5.8350196914161065
20.0,554.37,558.9532,14.253968150277377
21.0,554.37,558.6031,13.169271011697537
22.0,493.88,492.4044999999999,-5.17992069239853
24.0,659.25,661.4858,5.861424797227149
25.0,659.25,661.3269,5.445503341801513
26.0,587.33,586.1981,-3.339646366907882
27.0,587.33,588.9838,4.867947237825615
28.0,554.37,559.6963,16.55402766148399
29.0,554.37,559.112,14.745746212666777
30.0,493.88,495.1328,4.385971903942688
32.0,440.0,439.8426,-0.6194204332231643
33.0,440.0,439.8426,-0.6194204332231643
34.0,659.25,661.4861,5.862209954061629
35.0,659.25,661.4861,5.862209954061629
36.0,739.99,737.9058,-4.882942893659066
37.0,739.99,737.9058,-4.882942893659066
38.0,659.25,660.9428,4.4397069948833945
40.0,587.33,589.3061,5.815043106049995
41.0,587.33,586.1509,-3.479048963165526
42.0,554.37,556.7334,7.36493961285938
43.0,554.37,556.7334,7.36493961285938
