start_time,end_time,note
0.0,1.0,A4
1.0,2.0,A4
2.0,3.0,E5
3.0,4.0,E5
4.0,5.0,F#5
5.0,6.0,F#5
6.0,8.0,E5
8.0,9.0,D5
9.0,10.0,D5
10.0,11.0,C#5
11.0,12.0,C#5
12.0,13.0,B4
13.0,14.0,B4
14.0,16.0,A4
16.0,17.0,E5
17.0,18.0,E5
18.0,19.0,D5
19.0,20.0,D5
20.0,21.0,C#5
21.0,22.0,C#5
22.0,24.0,B4
24.0,25.0,E5
25.0,26.0,E5
26.0,27.0,D5
27.0,28.0,D5
28.0,29.0,C#5
29.0,30.0,C#5
30.0,32.0,B4
32.0,33.0,A4
33.0,34.0,A4
34.0,35.0,E5
35.0,36.0,E5
36.0,37.0,F#5
37.0,38.0,F#5
38.0,40.0,E5
40.0,41.0,D5
41.0,42.0,D5
42.0,43.0,C#5
43.0,44.0,C#5
44.0,45.0,B4
45.0,46.0,B4
46.0,48.0,A4
